date,number3,number4
1996-07-02,107,5739
1996-07-05,351,4946
1996-07-09,574,8695
1996-07-12,679,4820
1996-07-16,355,0744
1996-07-19,581,6042
1996-07-23,967,4544
1996-07-26,683,8670
1996-07-30,203,5994
1996-08-02,845,0978
1996-08-06,464,8734
1996-08-09,168,3568
1996-08-13,632,9989
1996-08-16,890,8132
1996-08-20,439,2057
1996-08-23,589,6416
1996-08-27,492,5570
1996-08-30,882,7284
1996-09-03,439,5010
1996-09-06,975,4640
1996-09-10,254,9167
1996-09-13,199,7981
1996-09-17,170,6332
1996-09-20,424,7301
1996-09-24,021,3371
1996-09-27,656,5312
1996-10-01,812,1745
1996-10-04,819,8693
1996-10-08,907,8316
1996-10-11,728,2697
1996-10-15,374,8234
1996-10-18,269,7656
1996-10-22,411,7441
1996-10-25,176,2398
1996-10-29,676,7202
1996-11-01,093,2210
1996-11-05,211,7832
1996-11-08,531,5797
1996-11-12,938,0382
1996-11-15,413,7913
1996-11-19,781,9170
1996-11-22,920,6613
1996-11-26,192,7158
1996-11-29,022,5301
1996-12-03,151,9475
1996-12-06,502,7251
1996-12-10,870,1449
1996-12-13,215,2223
1996-12-17,337,4695
1996-12-20,712,4316
1996-12-24,594,3698
1996-12-27,260,6623
1997-01-07,112,6684
1997-01-10,514,2507
1997-01-14,227,0887
1997-01-17,333,1041
1997-01-21,466,0239
1997-01-24,751,4147
1997-01-28,952,5886
1997-01-31,188,5369
1997-02-04,014,9889
1997-02-07,409,9171
1997-02-11,383,7411
1997-02-14,523,7565
1997-02-18,945,8532
1997-02-21,065,1985
1997-02-25,317,7671
1997-02-28,582,4080
1997-03-04,830,1493
1997-03-07,648,5051
1997-03-11,414,9401
1997-03-14,741,0438
1997-03-18,229,1173
1997-03-21,400,0557
1997-03-25,066,7754
1997-03-28,608,7702
1997-04-01,140,4612
1997-04-04,827,2108
1997-04-08,593,0747
1997-04-11,537,0127
1997-04-15,193,6178
1997-04-18,624,6471
1997-04-22,180,4590
1997-04-25,227,6937
1997-04-29,004,9871
1997-05-02,616,9434
1997-05-06,238,6805
1997-05-09,770,6757
1997-05-13,088,8575
1997-05-16,935,0930
1997-05-20,447,4714
1997-05-23,216,5339
1997-05-27,061,1203
1997-05-30,596,2045
1997-06-03,042,6628
1997-06-06,839,4185
1997-06-10,362,9888
1997-06-13,928,4112
1997-06-17,972,2310
1997-06-20,093,5949
1997-06-24,024,8375
1997-06-27,782,0628
1997-07-01,793,6023
1997-07-04,823,3730
1997-07-08,783,0613
1997-07-11,526,2992
1997-07-15,854,1026
1997-07-18,806,0800
1997-07-22,385,0576
1997-07-25,632,0999
1997-07-29,877,9303
1997-08-01,891,0178
1997-08-05,326,2937
1997-08-08,907,4834
1997-08-12,743,8882
1997-08-15,940,8106
1997-08-19,588,5086
1997-08-22,760,0295
1997-08-26,272,6670
1997-08-29,925,1689
1997-09-02,144,2867
1997-09-05,838,6254
1997-09-09,167,2990
1997-09-12,085,7264
1997-09-16,737,3009
1997-09-19,663,8289
1997-09-23,107,8516
1997-09-26,075,2814
1997-09-30,880,6809
1997-10-03,144,9041
1997-10-06,104,9472
1997-10-08,155,2565
1997-10-10,126,1116
1997-10-13,330,7554
1997-10-15,001,5049
1997-10-17,497,5090
1997-10-20,399,6444
1997-10-22,367,7227
1997-10-24,748,6279
1997-10-27,690,4014
1997-10-29,519,1879
1997-10-31,777,6418
1997-11-03,575,7215
1997-11-05,104,8466
1997-11-07,068,2796
1997-11-10,069,4821
1997-11-12,242,5118
1997-11-14,137,9989
1997-11-17,218,0535
1997-11-19,190,1650
1997-11-21,537,3614
1997-11-24,395,7312
1997-11-26,598,0552
1997-11-28,429,5913
1997-12-01,064,7178
1997-12-03,375,7592
1997-12-05,805,0354
1997-12-08,531,1035
1997-12-10,930,9759
1997-12-12,980,1662
1997-12-15,736,2919
1997-12-17,543,3701
1997-12-19,179,7499
1997-12-22,196,2055
1997-12-24,167,6460
1997-12-26,238,2042
1997-12-29,480,3776
1998-01-05,950,9750
1998-01-07,551,6557
1998-01-09,632,5009
1998-01-12,704,5560
1998-01-14,152,6989
1998-01-16,992,1574
1998-01-19,259,3878
1998-01-21,686,9295
1998-01-23,997,3748
1998-01-26,035,2789
1998-01-28,513,9860
1998-01-30,000,4483
1998-02-02,718,6603
1998-02-04,394,3531
1998-02-06,431,6110
1998-02-09,638,4652
1998-02-11,417,0609
1998-02-13,038,2134
1998-02-16,996,8586
1998-02-18,750,6499
1998-02-20,487,1348
1998-02-23,852,5075
1998-02-25,756,6876
1998-02-27,469,1426
1998-03-02,277,9072
1998-03-04,965,5574
1998-03-06,965,3702
1998-03-09,640,6312
1998-03-11,458,0242
1998-03-13,908,3686
1998-03-16,887,6228
1998-03-18,841,6907
1998-03-20,778,4980
1998-03-23,805,8573
1998-03-25,135,1059
1998-03-27,091,0129
1998-03-30,798,6228
1998-04-01,202,6526
1998-04-03,417,8134
1998-04-06,409,5111
1998-04-08,994,1128
1998-04-10,274,5022
1998-04-13,155,4204
1998-04-15,075,1893
1998-04-17,649,1620
1998-04-20,820,0941
1998-04-22,885,0256
1998-04-24,606,3430
1998-04-27,081,2042
1998-04-29,690,8433
1998-05-01,332,0034
1998-05-04,578,6560
1998-05-06,396,8301
1998-05-08,227,0154
1998-05-11,275,5201
1998-05-13,956,0307
1998-05-15,066,8369
1998-05-18,426,3779
1998-05-20,029,2957
1998-05-22,729,9626
1998-05-25,440,3829
1998-05-27,963,2002
1998-05-29,345,9348
1998-06-01,274,7143
1998-06-03,816,0884
1998-06-05,596,6980
1998-06-08,354,2997
1998-06-10,058,9570
1998-06-12,431,6739
1998-06-15,109,9332
1998-06-17,891,3337
1998-06-19,222,9698
1998-06-22,042,6700
1998-06-24,237,9477
1998-06-26,400,0422
1998-06-29,866,5352
1998-07-01,636,6891
1998-07-03,514,9995
1998-07-06,910,3786
1998-07-08,737,2154
1998-07-10,834,3354
1998-07-13,001,4123
1998-07-15,371,8840
1998-07-17,429,4637
1998-07-20,723,9002
1998-07-22,427,6237
1998-07-24,402,9088
1998-07-27,495,9683
1998-07-29,367,3149
1998-07-31,043,8991
1998-08-03,535,3914
1998-08-05,618,8550
1998-08-07,159,4521
1998-08-10,512,9230
1998-08-12,641,4532
1998-08-14,652,4731
1998-08-17,219,9901
1998-08-19,163,5776
1998-08-21,255,9200
1998-08-24,698,4288
1998-08-26,161,5654
1998-08-28,244,9945
1998-08-31,727,5711
1998-09-02,235,5473
1998-09-04,605,1580
1998-09-07,520,2548
1998-09-09,196,5309
1998-09-11,174,6431
1998-09-14,198,3151
1998-09-16,107,9922
1998-09-18,087,9657
1998-09-21,531,4590
1998-09-23,453,0121
1998-09-25,785,4356
1998-09-28,048,7341
1998-09-30,033,1983
1998-10-02,423,1224
1998-10-05,666,1950
1998-10-07,102,2750
1998-10-09,713,5357
1998-10-12,612,0093
1998-10-14,887,6719
1998-10-16,189,7893
1998-10-19,383,0912
1998-10-21,620,7228
1998-10-23,150,5963
1998-10-26,190,9837
1998-10-28,292,8955
1998-10-30,994,5905
1998-11-02,086,6534
1998-11-04,095,6933
1998-11-06,256,6081
1998-11-09,882,3083
1998-11-11,687,8319
1998-11-13,949,0051
1998-11-16,577,9274
1998-11-18,301,1782
1998-11-20,616,4070
1998-11-23,407,8571
1998-11-25,041,0941
1998-11-27,583,0161
1998-11-30,111,7466
1998-12-02,498,9699
1998-12-04,277,6768
1998-12-07,962,7788
1998-12-09,335,5669
1998-12-11,550,2952
1998-12-14,818,5902
1998-12-16,075,7316
1998-12-18,899,0189
1998-12-21,485,6835
1998-12-23,932,9168
1998-12-25,856,6231
1998-12-28,115,3307
1998-12-30,618,9888
1999-01-04,634,7509
1999-01-06,995,0031
1999-01-08,931,2596
1999-01-11,385,5494
1999-01-13,153,1564
1999-01-15,827,0415
1999-01-18,028,9541
1999-01-20,595,5227
1999-01-22,211,5212
1999-01-25,012,9236
1999-01-27,679,4579
1999-01-29,640,3070
1999-02-01,929,5967
1999-02-03,782,4197
1999-02-05,947,7382
1999-02-08,480,6779
1999-02-10,993,5246
1999-02-12,172,3175
1999-02-15,295,0907
1999-02-17,831,0965
1999-02-19,253,5940
1999-02-22,914,1258
1999-02-24,947,0998
1999-02-26,900,0069
1999-03-01,122,9036
1999-03-03,286,0871
1999-03-05,583,3421
1999-03-08,287,7362
1999-03-10,402,2664
1999-03-12,658,8910
1999-03-15,493,8225
1999-03-17,535,8242
1999-03-19,073,9677
1999-03-22,532,4761
1999-03-24,036,4056
1999-03-26,919,3807
1999-03-29,357,7333
1999-03-31,593,8966
1999-04-02,743,6564
1999-04-05,413,2644
1999-04-07,719,2709
1999-04-09,835,4139
1999-04-12,277,9790
1999-04-14,200,9669
1999-04-16,432,0771
1999-04-19,205,9568
1999-04-21,951,5950
1999-04-23,998,8622
1999-04-26,628,5225
1999-04-28,435,9778
1999-04-30,154,8966
1999-05-03,033,2787
1999-05-05,614,5824
1999-05-07,362,6489
1999-05-10,269,6865
1999-05-12,838,2253
1999-05-14,098,3053
1999-05-17,806,7623
1999-05-19,411,9090
1999-05-21,450,1094
1999-05-24,666,9033
1999-05-26,300,5623
1999-05-28,993,9806
1999-05-31,019,2809
1999-06-02,355,7731
1999-06-04,602,9888
1999-06-07,331,8945
1999-06-09,443,6991
1999-06-11,666,7787
1999-06-14,297,7671
1999-06-16,057,6054
1999-06-18,190,0524
1999-06-21,382,7764
1999-06-23,080,3389
1999-06-25,732,8722
1999-06-28,982,7936
1999-06-30,906,0313
1999-07-02,433,5236
1999-07-05,953,5519
1999-07-07,049,9009
1999-07-09,587,5700
1999-07-12,798,3237
1999-07-14,731,2183
1999-07-16,597,0745
1999-07-19,910,5910
1999-07-21,939,8093
1999-07-23,487,2153
1999-07-26,228,9461
1999-07-28,398,9749
1999-07-30,588,3556
1999-08-02,385,6531
1999-08-04,160,9863
1999-08-06,315,7685
1999-08-09,850,9919
1999-08-11,085,3423
1999-08-13,365,7041
1999-08-16,207,7272
1999-08-18,569,8200
1999-08-20,652,0305
1999-08-23,485,1259
1999-08-25,947,1069
1999-08-27,046,3308
1999-08-30,036,3387
1999-09-01,829,3576
1999-09-03,130,1050
1999-09-06,162,0450
1999-09-08,193,8251
1999-09-10,429,8772
1999-09-13,306,4632
1999-09-15,554,7438
1999-09-17,752,4802
1999-09-20,421,5068
1999-09-22,979,7915
1999-09-24,699,4344
1999-09-27,939,1615
1999-09-29,030,8388
1999-10-01,638,5307
1999-10-04,405,1996
1999-10-06,964,8173
1999-10-08,178,4102
1999-10-11,337,3141
1999-10-13,801,8486
1999-10-15,730,1148
1999-10-18,591,8880
1999-10-20,369,4293
1999-10-22,142,1271
1999-10-25,475,3487
1999-10-27,092,7732
1999-10-29,279,6142
1999-11-01,567,6319
1999-11-03,866,0524
1999-11-05,044,4693
1999-11-08,639,9321
1999-11-10,308,6024
1999-11-12,675,7786
1999-11-15,546,7057
1999-11-17,588,7414
1999-11-19,472,4845
1999-11-22,201,9825
1999-11-24,118,4367
1999-11-26,223,9805
1999-11-29,194,7920
1999-12-01,182,4196
1999-12-03,446,9432
1999-12-06,382,5065
1999-12-08,669,2609
1999-12-10,403,8966
1999-12-13,633,1805
1999-12-15,951,9379
1999-12-17,783,8230
1999-12-20,908,8932
1999-12-22,636,9712
1999-12-24,433,3523
1999-12-27,364,2701
1999-12-29,949,4221
2000-01-05,584,3967
2000-01-07,732,6597
2000-01-10,175,1148
2000-01-12,044,3793
2000-01-14,282,4069
2000-01-17,969,2678
2000-01-19,345,1743
2000-01-21,258,3209
2000-01-24,037,7402
2000-01-26,507,9818
2000-01-28,798,7657
2000-01-31,028,7999
2000-02-02,959,2800
2000-02-04,553,5605
2000-02-07,649,1131
2000-02-09,875,4073
2000-02-11,081,0394
2000-02-14,646,4290
2000-02-16,070,0872
2000-02-18,195,6076
2000-02-21,297,4653
2000-02-23,277,0959
2000-02-25,943,1913
2000-02-28,157,9962
2000-03-01,367,6717
2000-03-03,811,5606
2000-03-06,682,5436
2000-03-08,916,1834
2000-03-10,385,9963
2000-03-13,478,8664
2000-03-15,944,1053
2000-03-17,830,7697
2000-03-20,068,0829
2000-03-22,628,0644
2000-03-24,261,9037
2000-03-27,277,0909
2000-03-29,503,5026
2000-03-31,973,7175
2000-04-03,632,7329
2000-04-05,715,2782
2000-04-07,947,1804
2000-04-10,790,5970
2000-04-12,751,7440
2000-04-14,232,3906
2000-04-17,042,4983
2000-04-19,274,2430
2000-04-21,132,0473
2000-04-24,548,9236
2000-04-26,094,6189
2000-04-28,900,4905
2000-05-01,797,1915
2000-05-03,003,1197
2000-05-05,971,4359
2000-05-08,907,8646
2000-05-10,278,4772
2000-05-12,232,2922
2000-05-15,883,4476
2000-05-17,993,4921
2000-05-19,424,8511
2000-05-22,869,2953
2000-05-24,094,1202
2000-05-26,948,8172
2000-05-29,851,5798
2000-05-31,337,6351
2000-06-02,762,0592
2000-06-05,114,7389
2000-06-07,755,4820
2000-06-09,428,6612
2000-06-12,620,8501
2000-06-14,943,4434
2000-06-16,040,6216
2000-06-19,469,5533
2000-06-21,743,9787
2000-06-23,241,6711
2000-06-26,234,0586
2000-06-28,217,2600
2000-06-30,889,6020
2000-07-03,214,3592
2000-07-05,739,9916
2000-07-07,376,5754
2000-07-10,397,3918
2000-07-12,629,9124
2000-07-14,125,8150
2000-07-17,743,0603
2000-07-19,189,3733
2000-07-21,974,8804
2000-07-24,808,3003
2000-07-26,715,4372
2000-07-28,179,9493
2000-07-31,496,2579
2000-08-02,610,4853
2000-08-04,603,0899
2000-08-07,821,0630
2000-08-09,065,1727
2000-08-11,918,6024
2000-08-14,602,8900
2000-08-16,054,1327
2000-08-18,286,4558
2000-08-21,854,8283
2000-08-23,946,4635
2000-08-25,031,7670
2000-08-28,134,1591
2000-08-30,831,3173
2000-09-01,617,7290
2000-09-04,920,3198
2000-09-06,912,8678
2000-09-08,266,4700
2000-09-11,370,3191
2000-09-13,208,3686
2000-09-15,307,4544
2000-09-18,982,8675
2000-09-20,386,9894
2000-09-22,375,2794
2000-09-25,088,5151
2000-09-27,548,2894
2000-09-29,699,6504
2000-10-02,805,2809
2000-10-04,804,4108
2000-10-06,610,2758
2000-10-09,094,5489
2000-10-11,117,0779
2000-10-13,835,1372
2000-10-16,618,0235
2000-10-18,192,7385
2000-10-20,220,7049
2000-10-23,325,0178
2000-10-25,522,7670
2000-10-27,574,4635
2000-10-30,811,5531
2000-11-01,080,0328
2000-11-03,923,9578
2000-11-06,302,2954
2000-11-08,237,4810
2000-11-10,226,6305
2000-11-13,167,6921
2000-11-15,033,0570
2000-11-17,472,7852
2000-11-20,014,9400
2000-11-22,924,3275
2000-11-24,703,6936
2000-11-27,908,9346
2000-11-29,160,0399
2000-12-01,221,7643
2000-12-04,433,1981
2000-12-06,787,5509
2000-12-08,807,4256
2000-12-11,552,3650
2000-12-13,220,9050
2000-12-15,685,6989
2000-12-18,199,5737
2000-12-20,461,3986
2000-12-22,360,7798
2000-12-25,418,6223
2000-12-27,477,1379
2000-12-29,953,5595
2001-01-05,817,3930
2001-01-08,793,0516
2001-01-10,468,8327
2001-01-12,405,8494
2001-01-15,331,1122
2001-01-17,224,4595
2001-01-19,221,7748
2001-01-22,122,0016
2001-01-24,296,8058
2001-01-26,127,3878
2001-01-29,929,1623
2001-01-31,559,0385
2001-02-02,614,0742
2001-02-05,096,2902
2001-02-07,873,2711
2001-02-09,839,0908
2001-02-12,650,5297
2001-02-14,922,8319
2001-02-16,427,4342
2001-02-19,369,5382
2001-02-21,033,7402
2001-02-23,292,9968
2001-02-26,459,0597
2001-02-28,535,2422
2001-03-02,102,9941
2001-03-05,339,8238
2001-03-07,823,0301
2001-03-09,802,9634
2001-03-12,939,0325
2001-03-14,442,3119
2001-03-16,247,8609
2001-03-19,764,1807
2001-03-21,626,5096
2001-03-23,826,8866
2001-03-26,594,6879
2001-03-28,309,4357
2001-03-30,926,2221
2001-04-02,539,7853
2001-04-04,524,6289
2001-04-06,679,1112
2001-04-09,059,1477
2001-04-11,306,6926
2001-04-13,219,3781
2001-04-16,768,6718
2001-04-18,170,0322
2001-04-20,274,6848
2001-04-23,531,9199
2001-04-25,473,8348
2001-04-27,098,5734
2001-04-30,539,9285
2001-05-02,646,9662
2001-05-04,717,1368
2001-05-07,057,2275
2001-05-09,363,5418
2001-05-11,112,1240
2001-05-14,939,7125
2001-05-16,099,1445
2001-05-18,921,1571
2001-05-21,510,6750
2001-05-23,400,8212
2001-05-25,963,6988
2001-05-28,931,9691
2001-05-30,883,9397
2001-06-01,585,5347
2001-06-04,426,6193
2001-06-06,329,6768
2001-06-08,571,2365
2001-06-11,432,9555
2001-06-13,634,9186
2001-06-15,245,0906
2001-06-18,772,2436
2001-06-20,639,3181
2001-06-22,755,3422
2001-06-25,367,3425
2001-06-27,454,2341
2001-06-29,778,6685
2001-07-02,845,1667
2001-07-04,589,9407
2001-07-06,318,6447
2001-07-09,908,4433
2001-07-11,678,2530
2001-07-13,494,6463
2001-07-16,703,7020
2001-07-18,745,9569
2001-07-20,388,8390
2001-07-23,307,9413
2001-07-25,302,1141
2001-07-27,672,3607
2001-07-30,691,1188
2001-08-01,139,4720
2001-08-03,332,9406
2001-08-06,254,2502
2001-08-08,353,9527
2001-08-10,184,4495
2001-08-13,592,7915
2001-08-15,614,7329
2001-08-17,108,3130
2001-08-20,055,3918
2001-08-22,980,7050
2001-08-24,350,6606
2001-08-27,088,8207
2001-08-29,694,9506
2001-08-31,377,8287
2001-09-03,648,3418
2001-09-05,005,0890
2001-09-07,812,0665
2001-09-10,202,7544
2001-09-12,865,3357
2001-09-14,042,6947
2001-09-17,116,8566
2001-09-19,947,5362
2001-09-21,972,8611
2001-09-24,891,6160
2001-09-26,524,3260
2001-09-28,737,6784
2001-10-01,356,8747
2001-10-03,276,4749
2001-10-05,502,6640
2001-10-08,997,6245
2001-10-10,223,6587
2001-10-12,498,7255
2001-10-15,315,6825
2001-10-17,893,0215
2001-10-19,232,7356
2001-10-22,511,0266
2001-10-24,971,7137
2001-10-26,373,5958
2001-10-29,468,4639
2001-10-31,848,0441
2001-11-02,032,0333
2001-11-05,905,4092
2001-11-07,330,1826
2001-11-09,471,5938
2001-11-12,337,5552
2001-11-14,361,5994
2001-11-16,304,4602
2001-11-19,666,5693
2001-11-21,865,7315
2001-11-23,603,4949
2001-11-26,308,1222
2001-11-28,188,2409
2001-11-30,059,8321
2001-12-03,614,0030
2001-12-05,881,2956
2001-12-07,937,5335
2001-12-10,019,5032
2001-12-12,361,3078
2001-12-14,220,4562
2001-12-17,478,1542
2001-12-19,788,4449
2001-12-21,707,4046
2001-12-24,147,8549
2001-12-26,549,7571
2001-12-28,875,0245
2002-01-04,103,6923
2002-01-07,845,8233
2002-01-09,981,1172
2002-01-11,533,1725
2002-01-14,454,4399
2002-01-16,911,0898
2002-01-18,060,9930
2002-01-21,345,9571
2002-01-23,559,1123
2002-01-25,805,3667
2002-01-28,230,1490
2002-01-30,131,3837
2002-02-01,832,1296
2002-02-04,715,5947
2002-02-06,181,0001
2002-02-08,950,4051
2002-02-11,749,3716
2002-02-13,147,7928
2002-02-15,337,2642
2002-02-18,557,5690
2002-02-20,795,8681
2002-02-22,432,8534
2002-02-25,000,9399
2002-02-27,192,5774
2002-03-01,158,2458
2002-03-04,011,1796
2002-03-06,420,2175
2002-03-08,250,9407
2002-03-11,071,8667
2002-03-13,727,1585
2002-03-15,824,3996
2002-03-18,622,6215
2002-03-20,505,3912
2002-03-22,683,5262
2002-03-25,241,5648
2002-03-27,979,1839
2002-03-29,543,0339
2002-04-01,505,1933
2002-04-03,124,0253
2002-04-05,393,7026
2002-04-08,658,7428
2002-04-10,312,3013
2002-04-12,931,4515
2002-04-15,168,7488
2002-04-17,851,3242
2002-04-19,189,7461
2002-04-22,165,6576
2002-04-24,828,8637
2002-04-26,324,0288
2002-04-29,241,7710
2002-05-01,629,6971
2002-05-03,215,1818
2002-05-06,233,2929
2002-05-08,297,2032
2002-05-10,381,0314
2002-05-13,699,9355
2002-05-15,695,1061
2002-05-17,813,2014
2002-05-20,690,0783
2002-05-22,199,0437
2002-05-24,758,9271
2002-05-27,922,7605
2002-05-29,810,8459
2002-05-31,463,0905
2002-06-03,749,9766
2002-06-05,546,4560
2002-06-07,140,0900
2002-06-10,642,6120
2002-06-12,463,9255
2002-06-14,224,1706
2002-06-17,423,9849
2002-06-19,793,1268
2002-06-21,554,7174
2002-06-24,794,9081
2002-06-26,441,3521
2002-06-28,825,1565
2002-07-01,260,3002
2002-07-03,216,3288
2002-07-05,404,1744
2002-07-08,466,3754
2002-07-10,249,6694
2002-07-12,067,6332
2002-07-15,524,6811
2002-07-17,925,7874
2002-07-19,143,9787
2002-07-22,258,8994
2002-07-24,108,3694
2002-07-26,526,0723
2002-07-29,647,6634
2002-07-31,844,6271
2002-08-02,883,7522
2002-08-05,267,8650
2002-08-07,676,4598
2002-08-09,165,8130
2002-08-12,602,1440
2002-08-14,006,9320
2002-08-16,290,7259
2002-08-19,538,3269
2002-08-21,642,1835
2002-08-23,670,2997
2002-08-26,911,7131
2002-08-28,552,2400
2002-08-30,646,4327
2002-09-02,137,2653
2002-09-04,347,4461
2002-09-06,879,3267
2002-09-09,966,3119
2002-09-11,995,3354
2002-09-13,165,0671
2002-09-16,966,6591
2002-09-18,228,5453
2002-09-20,385,7532
2002-09-23,571,5777
2002-09-25,259,7452
2002-09-27,330,6280
2002-09-30,670,9646
2002-10-02,853,7779
2002-10-04,910,7683
2002-10-07,382,8112
2002-10-09,461,4549
2002-10-11,866,2771
2002-10-14,567,8217
2002-10-16,954,4968
2002-10-18,294,3761
2002-10-21,408,5158
2002-10-23,438,4397
2002-10-25,410,8336
2002-10-28,465,9901
2002-10-30,486,6697
2002-11-01,334,2707
2002-11-04,721,2125
2002-11-06,175,0319
2002-11-08,750,7239
2002-11-11,299,2354
2002-11-13,305,9423
2002-11-15,670,7368
2002-11-18,549,2568
2002-11-20,621,4059
2002-11-22,779,0060
2002-11-25,782,2556
2002-11-27,798,1440
2002-11-29,289,5351
2002-12-02,601,1221
2002-12-04,188,0058
2002-12-06,053,9848
2002-12-09,180,9507
2002-12-11,390,5731
2002-12-13,232,6233
2002-12-16,015,4344
2002-12-18,270,2008
2002-12-20,386,8199
2002-12-23,748,6415
2002-12-25,821,4539
2002-12-27,519,4938
2002-12-30,407,4265
2003-01-06,739,6300
2003-01-08,904,4368
2003-01-10,850,0570
2003-01-13,417,0933
2003-01-15,735,4147
2003-01-17,685,8762
2003-01-20,703,5030
2003-01-22,409,6813
2003-01-24,718,4802
2003-01-27,816,4609
2003-01-29,264,7161
2003-01-31,789,2343
2003-02-03,996,7680
2003-02-05,702,9231
2003-02-07,687,0027
2003-02-10,818,6507
2003-02-12,820,3361
2003-02-14,361,7804
2003-02-17,554,6964
2003-02-19,956,0452
2003-02-21,264,6191
2003-02-24,036,0664
2003-02-26,210,7718
2003-02-28,418,2868
2003-03-03,036,2351
2003-03-05,251,9411
2003-03-07,887,3949
2003-03-10,410,6788
2003-03-12,233,7713
2003-03-14,250,0775
2003-03-17,072,3059
2003-03-19,757,8919
2003-03-21,917,6073
2003-03-24,540,7123
2003-03-26,129,2702
2003-03-28,999,2169
2003-03-31,126,0084
2003-04-02,442,7301
2003-04-04,428,7989
2003-04-07,016,9385
2003-04-09,511,8027
2003-04-11,831,5394
2003-04-14,714,5430
2003-04-16,177,0390
2003-04-18,687,6706
2003-04-21,142,9936
2003-04-23,309,7908
2003-04-25,198,2782
2003-04-28,041,6819
2003-04-30,971,2060
2003-05-02,806,9123
2003-05-05,831,1563
2003-05-07,577,1663
2003-05-09,366,5749
2003-05-12,990,1775
2003-05-14,835,7894
2003-05-16,644,4973
